rank,prefix,type,language,loclang,good,total,edits,admins,users,activeusers,images,stubratio,timestamp, 
791,www.wikimedia.de,special,German,,344,1510,8875,8,68,11,763,0.2278,2025-03-16 18:01:39,
792,tdd,wikipedia,Tai N&#252;a,,,,,,,,,,,
&#6481;&#6499;&#6491;&#6512; &#6486;&#6509;&#6512; &#6486;&#6508;&#6514; &#6481;&#6504;&#6482;&#6512;,,,,,,,,,,,,,,
,341,1386,5924,1,528,8,0,0.2460,2025-05-03 00:12:13,,,,,
793,hi,wikiversity,Hindi,&#2361;&#2367;&#2344;&#2381;&#2342;&#2368;,339,3844,24459,2,2285,8,2,0.0882,2025-05-02 11:00:39,
794,din,wikipedia,Dinka,Thu&#596;&#331;j&#228;&#331;,339,1122,8965,1,7048,8,0,0.3021,2025-05-03 00:12:06,
795,ti,wikipedia,Tigrinya,&#4725;&#4877;&#4653;&#4763;,336,3051,25382,1,10546,7,0,0.1101,2025-05-03 00:12:08,
796,simple,wikibooks,Simple English,Simple English,330,2623,17496,1,3783,2,5,0.1258,2025-05-03 04:01:32,
797,iu,wiktionary,Inuktitut,&#5123;&#5316;&#5251;&#5198;&#5200;&#5222;,327,1069,11037,1,5586,4,0,0.3059,2025-05-03 01:02:42,
798,ss,wiktionary,Swati,SiSwati,325,1361,10360,2,4440,3,0,0.2388,2025-05-03 01:02:27,
799,ms,wikibooks,Malay,Bahasa Melayu,324,3035,13371,2,3297,5,76,0.1068,2025-05-03 04:01:34,
800,ml,wikiquote,Malayalam,&#3374;&#3378;&#3375;&#3390;&#3379;&#3330;,321,3461,22217,2,5435,11,1,0.0927,2025-05-03 05:02:20,
801,sg,wikipedia,Sango,S&#228;ng&#246;,321,2029,21312,1,7324,8,0,0.1582,2025-05-03 00:12:11,
802,ps,wikivoyage,Pashto,&#1662;&#1690;&#1578;&#1608;,320,917,6957,1,988,4,0,0.3490,2025-05-03 06:00:12,
803,chr,wiktionary,Cherokee,&#5091;&#5043;&#5033;,319,1296,779118,1,10740,7,1,0.2461,2025-05-03 01:01:51,
804,sq,wikiquote,Albanian,Shqip,317,3171,25302,1,2983,2,2,0.1000,2025-05-03 05:02:53,
805,bg,wikibooks,Bulgarian,&#1041;&#1098;&#1083;&#1075;&#1072;&#1088;&#1089;&#1082;&#1080;,316,2011,16321,1,5525,5,28,0.1571,2025-05-03 04:01:37,
806,ko,wikiversity,Korean,&#54620;&#44397;&#50612;,313,3228,35700,1,4276,2,21,0.0970,2025-05-02 11:00:10,
807,mk,wikibooks,Macedonian,&#1052;&#1072;&#1082;&#1077;&#1076;&#1086;&#1085;&#1089;&#1082;&#1080;,311,1951,12966,1,3398,2,23,0.1594,2025-05-03 04:01:39,
808,pt.wikimedia.org,special,Portuguese,,309,799,8154,5,2939,7,11,0.3867,2025-05-02 18:01:27,
809,mitglieder.wikimedia.at,special,German,,302,4891,20909,21,16485,3,459,0.0617,2025-05-02 18:01:30,
810,mx.wikimedia.org,special,Spanish,,299,932,6224,8,6481,8,11,0.3208,2025-05-02 18:01:32,
811,ka,wikibooks,Georgian,&#4325;&#4304;&#4320;&#4311;&#4323;&#4314;&#4312;,298,5217,19075,1,5145,7,1330,0.0571,2025-05-03 04:01:41,
812,he,wikinews,Hebrew,&#1506;&#1489;&#1512;&#1497;&#1514;,281,5961,50618,2,5300,9,54,0.0471,2025-05-03 03:01:12,
